,ulasan,rating,Label,clean_teks
10,"sangat-sangat kecewa sudah cari tutorial berbagai sosmed bagaimana tokped cod. langsung coba hasilnya nihil, adain cod setiap kategori adanya persyaratan bukan gimana-gimana semua orang punya debit,atm dll. hanya bayar cod",1,0,sangatsangat kecewa cari tutorial sosmed tokped cod langsung coba hasil nihil adain cod kategori syarat gimanagimana orang debitatm dll bayar cod
11,"jangan kerjasama id express, barang selalu ngga kirim. sudah beberapa kali cek status resi, belum pickup 2 hari keterangan jadwalkan ulang kurir. barangnya selalu lama kirim sudah di gerai, lewat waktu estimasi. di pertimbangkan kenyamanan customer",1,0,kerjasama id express barang ngga kirim kali cek status resi pickup terang jadwal ulang kurir barang kirim gerai estimasi timbang nyaman customer
12,"e-commerce paling menyebalkan. program gratis ongkir bisa pilih kurir & otomatis dipilihkan sistem. alhasil selalu dikirim si cepat ekspedisi sangat not recomended, paket muter2 udah sampe kota malah kembalikan ke pusat. pelayanan cs lambat",1,0,ecommerce sebal program gratis ongkir pilih kurir otomatis pilih sistem alhasil kirim cepat ekspedisi not recomended paket muter udah sampe kota kembali pusat layan cs lambat
13,"kurir rekomendasi mengecewakan, paket diambil sicepat (gercep bakalan cepet nih) tiba-tiba ganti sapx (kok paket jalan tetep jakarta, wah beres) . bekasi bayumas 5 hari sampai paketnya. harusnya 2-3 sampai. saran!!! mungkin ditambahkan menu customer memilih 2-3 kurir nantinya otomatis dipilih sistem kurir rekomendasi. jadi customer milih mitra pengiriman tercepat daerahnya.",1,0,kurir rekomendasi kecewa paket ambil sicepat gercep cepet nih tibatiba ganti sapx paket jalan tetep jakarta beres bekas bayumas paket saran menu customer pilih kurir otomatis pilih sistem kurir rekomendasi customer milih mitra kirim cepat daerah
14,"kedepanya, beri fitur bintang penilaian khusus pelayanan jasa pengiriman, karna sering sekali adanya keterlambatan jasa kirim, jadi acuan data goto kordinasi jasa pengirima yg kerjasama goto jasa kirim selalu tepat waktu lebih sigap ( paham harga kwalitas) kalo yg murah tidak, masih bisa di maksimalkan. terkadang barang yg sudah sesuai kena imbas bintang 1 gara² jasa kirim yg lama",1,0,depa fitur bintang nilai khusus layan jasa kirim karna lambat jasa kirim acu data goto kordinasi jasa pengirima kerjasama goto jasa kirim sigap paham harga kwalitas kalo murah maksimal terkadang barang sesuai kena imbas bintang gara jasa kirim
15,"bisa chat langsung cs, cuma chat bot masalah tidak teratasi. mending balik shope, responsif cs nya kendala kurir lemot, entah kalau tokopedia kurir nya lama sekali. sistemnya agak merepotkan, ayolah berbenah.",1,0,chat langsung cs chat bot atas mending shope responsif cs nya kendala kurir lot tokopedia kurir nya sistem repot ayo benah
16,upload foto video ulasan. kuota banyak tetep lemot yah.. skrg ad nambah 2 biaya.. biaya layanan biaya aplikasi.. apa apaan coba. terima kasih menemani belanja selama inih. jumpa lain waktu.,1,0,upload foto video ulas kuota tetep lot yah skrg ad nambah biaya biaya layan biaya aplikasi coba terima kasih tani belanja inih jumpa
17,aplikasi berjalan normal. kemu gkinan bug apalah atau aplikasi cocok hp jelek karna cuma punya hp jelek murahan. halaman awal membuka aplikasi semakin simple semakin baik.,1,0,aplikasi jalan normal kemu gkinan bug apa aplikasi cocok hp jelek karna hp jelek murah halaman buka aplikasi simple
18,"sejak 07 oktober 2023, aplikasi sering muncul beranda handphone tiba-tiba, sangat mengganggu sekali sedang melakukan aktifitas menggunakan handphone. sudah coba setting beberapa kali hasilnya tetap sama saja, terpaksa aplikasi tokopedia hapus handphone. 🙏",1,0,oktober aplikasi muncul beranda handphone tibatiba ganggu aktifitas handphone coba setting kali hasil paksa aplikasi tokopedia hapus handphone
19,gratis ongkir gak niat minimal milih ekspedisi lah. masak dipilihin. seringnya pake si cepat. si cepat ditempatku paling lemot. tiru tuh aplikasi oren. milih.,1,0,gratis ongkir gak niat minimal milih ekspedisi masak dipilihin pake cepat cepat tempat lot tiru tuh aplikasi oren milih
20,"sy pengguna toped jam. tampilan keranjang lebih baik versi sebelumnya. halaman cekout ditampilkan berat tiap item, total berat barang. di update sperti sebelumnya.",2,0,sy guna toped jam tampil keranjang versi halaman cekout tampil berat item total berat barang update sperti
21,"makin kesini makin berat aja aplikasi. padahal hp gak jadul2 amat(redmi note 10 pro +realme 6 pro) .. penggunaan wifi (rumah+kantor) berat, penggunaan datapun berat. dulu paling suka aplikasi karena 1(satu) harga =1(satu) produk. lebih akurat aja kalau pengen cari sesuatu.sekarang malah kayak toko oren yg postingan terdapat banyak produk banyak harga",2,0,kesini berat aja aplikasi hp gak jadul amatredmi note pro realme pro guna wifi rumahkantor berat guna data berat suka aplikasi harga produk akurat aja ken cari sesuatusekarang kayak toko oren postingan produk harga
22,"aplikasinya semakin lama semakin berat,untuk belanja pake gratis ongkir sekarang diantar lama,padahal dulu kalau gratis ongkir asalkan daerah jakarta langsung diantar datang,kalau sekarang nunggu 3 hari baru datang,masa kalah sama oren..udah belanja nya berapapun tetap gratis ongkir ,dan tetap diantar hari sama,kecuali kalau pesannya malam,baru diantar besok pagi...haaah makin lama makin malas tokopedia,tapi cuma yang percaya... dahlah",2,0,aplikasi beratuntuk belanja pake gratis ongkir antar lamapadahal gratis ongkir daerah jakarta langsung antar datangkalau nunggu datangmasa kalah orenudah belanja nya gratis ongkir antar samakecuali pesan malambaru antar besok pagihaaah malas tokopediatapi percaya dah
23,"tokopedia sekarang gajelas, sistem rekomendasi kurir, paket tiba-tiba dipindah ekspedisi lain. akan dijamin keselamatan paket kita? 1 jasa ekspedisi aja udah ribet ngurusnya kalo masalah. mending pake aplikasi deh👎👎👎. kemunduran tokopedia, inovasi menambah masalah, pengiriman jadi lama. biasa aplikasi 1-2 hari barang sampai. sekarang pakai tokopedia 1 minggu menunggu paket, pindah-pindah jasa ekspedisi.",2,0,tokopedia gajelas sistem rekomendasi kurir paket tibatiba pindah ekspedisi jamin selamat paket jasa ekspedisi aja udah ribet ngurusnya kalo mending pake aplikasi deh mundur tokopedia inovasi tambah kirim aplikasi barang pakai tokopedia minggu tunggu paket pindahpindah jasa ekspedisi
24,"memiliki promo unggulan gratis ongkir buruk!! durasi pengiriman lama, memungkinkan paket datang kondisi rusak. memberikan promo kualitas!! so, hindari pake gratis ongkir perlu cepat terutama barang pecah belah.",1,0,milik promo unggul gratis ongkir buruk durasi kirim paket kondisi rusak promo kualitas so hindar pake gratis ongkir cepat barang pecah belah
25,aplikasi tokopedia sekarang semakin berat & loading lama terkadang force close sendiri..semakin pembaharuan semakin parah aplikasinya..belum ditambah pengiriman jasa kurir sekarang lama sampainya 1 mingguan terutama jasa kurir sicepat/sigesit/halu.,1,0,aplikasi tokopedia berat loading terkadang force close sendirisemakin baharu parah aplikasinyabelum tambah kirim jasa kurir sampai minggu jasa kurir sicepatsigesithalu
26,"aneh sekali, padahal pencet check out baru aja milih pembayaran udah gak di gunain (utk pengguna baru). pada pemilihan pembayaran loadingnya lama padahal jaringannya aman2 aja. di perbaiki sistem kerjanya.",1,0,aneh pencet check out aja milih bayar udah gak gunain utk guna pilih bayar loadingnya jaring aman aja baik sistem kerja
27,"hapus aja sistem kurir rekomendasi (tidak berguna) banyak komplain sistem kurir rekomendasi tidak efektif. paket seharusnya diantar malah berputar-putar satu tempat 1 minggu. jujur sistem kurir rekomendasi lebih baik dihapus tidak efisien dibenahi sistemnya. rusak tokopedia, hilang kepercayaan pembeli tokopedia bertolak belakang iklan tokopedia kurir rekomendasi katanya lebih aman tepat waktu.",2,0,hapus aja sistem kurir rekomendasi guna komplain sistem kurir rekomendasi efektif paket antar berputarputar minggu jujur sistem kurir rekomendasi hapus efisien benah sistem rusak tokopedia hilang percaya beli tokopedia tolak iklan tokopedia kurir rekomendasi aman
28,"aku transfer tokopedia tadi mlm kok barang blm proses malah muncul pemberitahuan menunggu pembayaran, aplikasi lemot sekali padahal pertama kali aku belanja platform ini. kecewa saya, mau komplain dm instagram gk 🔥😡",1,0,transfer tokopedia mlm barang blm proses muncul pemberitahuan tunggu bayar aplikasi lot kali belanja platform kecewa komplain dm instagram gk
29,"maaf developer, kayaknya masalah modul transaksi sampe turunannya, tadi ngfreeze di detail pesanan, mudah2an gk kena marah sama tim leader nya, membantu saja, tetep kasih bintang 5",5,1,maaf developer kayak modul transaksi sampe turun ngfreeze detail pesan mudah gk kena marah tim leader nya bantu tetep kasih bintang
30,"baru pertama download , cobain aplikasi , pasdi checkout gak kendala apa apa , bayar tiba tiba transaksi dibatalkan sistem, alasan yg jelas , biasa nya toko sebelah kita buat orderan kalo memang kendala apapun gak melanjutkan transaksi dong , lah pas udh bayar tiba tiba batalkan sistem , duit masuk tokped uang admin ilang , jangan di download lah kalo gak mau kejadian apa yg alami",1,0,download cobain aplikasi pasdi checkout gak kendala bayar transaksi batal sistem alas nya toko belah order kalo kendala apa gak lanjut transaksi pas udh bayar batal sistem duit masuk tokped uang admin ilang download kalo gak jadi alami
31,"sekarang proses pengiriman pernah up to date.... jadi buyer tau orderan sampai mana... gk kayak dulu, selalu laporan perjalanan paket, tau kapan nyampenya, bisa nunggu, sekarang toped... tak punya perhatian, cuma jadi perantara aja tanggung jawab ekspedisi, waktu kirim sekarang lebih lama,",2,0,proses kirim up to date buyer tau order gk kayak lapor jalan paket tau nyampenya nunggu toped perhati antara aja tanggung ekspedisi kirim
32,"driver gojek, saya merasakan kecurangan pembeli menggunakan apk ini. letak kecurangannya pada fitur pin poin alamat tujuan/pembeli. alamatnya sesuai titik bisa 5 kiloan lebih jaraknya. saya kurang paham ulah darpada seller/buyer sengaja merubah pin poin ongkos kirim jauh lebih murah. disayangkan kebanyakan itu dilakukan pembeli yang bisa bilang berada ( rumahnya besar, punya mobil ) sungguh licik bukan..",1,0,driver gojek rasa curang beli aplikasi letak curang fitur pin poin alamat tujuanpembeli alamat sesuai titik kilo jarak paham ulah darpada sellerbuyer sengaja rubah pin poin ongkos kirim murah sayang banyak beli bilang rumah mobil sungguh licik
33,"bisa membuka metide pembayaran, selalu freeze, aplikasi menanggapi... kemudian ku check ternyata update playstore, di update app malah blank gak produk apapun yg muncul",2,0,buka metide bayar freeze aplikasi tanggap ku check update playstore update aplikasi blank gak produk apa muncul
34,parah benar kali tokopedia.. tiba-tiba ngirim notifikasi kalo akun melanggar s&k promo yg berlaku.. akun utk belanja menggunakan hak promo pun voucher akun saya.. aneh tokopedia makin depan upgrade nya tokopedia makin jelas.. semoga cepat nggak di pakai org lagi ini aplikasi... biar tau rasanya kehilangan konsumen.,1,0,parah kali tokopedia tibatiba ngirim notifikasi kalo akun langgar sk promo laku akun utk belanja hak promo voucher akun aneh tokopedia upgrade nya tokopedia moga cepat nggak pakai org aplikasi biar tau hilang konsumen
35,"animasi antarmukanya udah bagus cuma ongkir+biaya apknya kelewat mahal, bonus cashback gk kerasa, malah kayak byr normal toko offline beda dg thn 2021 msh bagus thn itu, byk voucher diskon yg gk dipakai karna syarat2nya, coba diperbaiki lg sistem2 toped jd sama2 enak kyk win2 solution 50:50, gitu. memang mau menuju toko offline? thanks",2,0,animasi antarmuka udah bagus ongkirbiaya apknya lewat mahal bonus cashback gk rasa kayak byr normal toko offline beda dg thn msh bagus thn byk voucher diskon gk pakai karna syarat coba baik lg sistem toped jd enak kyk win solution gitu toko offline thanks
36,"cashback semakin sedikit,gk kayak dulu yg sampe 5-10% gk gratis ongkir instan,gratis ongkir expedisi jg minimal belanja msh tinggi cashback yg besar untuk pembayaran cicilan, tp sama aja cashback nya buat bayar bunga cicilan",4,1,cashback sedikitgk kayak sampe gk gratis ongkir instangratis ongkir expedisi jg minimal belanja msh cashback bayar cicil tp aja cashback nya bayar bunga cicil
37,tokopedia update..tapi di instal berjam2 muter2 saja..sekarang gak pakai tokopedia..karena sulitnya instal update tokopedia..mending tak buang ganti toko sebelah..sampai sekarang bisa..tertunda masih muter2,1,0,tokopedia updatetapi instal jam muter sajasekarang gak pakai tokopediakarena sulit instal update tokopediamending buang ganti toko sebelahsampai bisatertunda muter
38,"baru kali tokopedia bikin kecewa, semenjak adanya perubahan potongan ongkir udah gak ngasi full diskon ongkir 40 rb kalo total belanjaannya dibawah 100 rb, padahal satu satunya butuhin pas belanja online cuman gratis ongkir, itu lah sekarang kurang ngandelin tokopedia, voucher dikasi kebanyakan gak berguna saya kayak cashback sama diskon merek tertentu, saya lebih suka tokopedia dulu ketimbang saat",1,0,kali tokopedia bikin kecewa semenjak ubah potong ongkir udah gak ngasi full diskon ongkir rb kalo total belanja bawah rb satu butuhin pas belanja online cuman gratis ongkir ngandelin tokopedia voucher kasi banyak gak guna kayak cashback diskon merek suka tokopedia ketimbang
39,"halo tokopedia, update lebih seminggu lalu, kali cek transaksi berlangsung ingin membuka status transaksi, malah selalu ke home. saya bisa cek status transaksi sampai mana. ini jg menunda saya untuk melakukan transaksi pembelian lg sejak masalah ini. diperbaiki bisa digunakan kembali. terima kasih",1,0,halo tokopedia update minggu kali cek transaksi buka status transaksi home cek status transaksi jg tunda transaksi beli lg baik terima kasih
40,"gratis ongkir tokopedia lelet, padahal kerjasama sama si cepat tetep aja lelet. mending ganti nama aja si lelet jangan si cepat. nama kualitas kerja berbanding terbalik. maklum lah namanya aja gratisan",1,0,gratis ongkir tokopedia lelet kerjasama cepat tetep aja lelet mending ganti nama aja lelet cepat nama kualitas kerja banding balik maklum nama aja gratis
41,"awalnya tertarik tokopedia sekarang jadi malas pake tokopedia karna iklan nya sangat mengganggu, selalu paksa menonton iklan tokopedia sangat mengganggu saya, iklan kalian bikin yang tadinya tertarik jadi mau pake lazada",1,0,tarik tokopedia malas pake tokopedia karna iklan nya ganggu paksa tonton iklan tokopedia ganggu iklan bikin tarik pake lazada
42,jadi malas belanja tokopedia ngasih bebas ongkir jasa expedisi tentukan kita memilih expedisi kita mau jasa di tentukan pihak tokopedia proses pengirimannya jelas di oper-oper kaya main bola untuk nyampe tujuan sangat lambat terlalu banyak buang waktu biasanya jakarta-karawang cuma 1 hari jasa pilihan toko pedia bisa sampai 1 minggu paling cepat 3-4 hari,1,0,malas belanja tokopedia ngasih bebas ongkir jasa expedisi tentu pilih expedisi jasa tentu tokopedia proses kirim operoper kaya main bola nyampe tuju lambat buang jakartakarawang jasa pilih toko dia minggu cepat
43,berikan bintang 1 sy mau bertanya tokopedia tokopedia shop milik tokopedia bukan dikarena kan diundang mengikuti misi misi sudah kerjakan top up sebenar 550.000 ketika melanjutkan misi top up sebesar 550.000 tarik di refund rek. tindak penipuan kalau memang tdk menyelesaikan misi untuk dana sebelumnya di refund saat ini dana 550k tidak bisa saya ambil!!!!!,1,0,bintang sy tokopedia tokopedia shop milik tokopedia karena undang ikut misi misi kerja top up benar lanjut misi top up tarik refund rek tindak tipu selesai misi dana refund dana k ambil
44,"promo gratis ongkir cuman 20.000 itu semisal pakai kurir a tiba2 ubah kurir b mengecewakan saya, pakai tokopedia lama baru saya merasakan pelayanan mengecewakan tiba2 paket di kirim menggunakan kurir kenapa di konfirmasi dahulu. bukan kurir jne lah,",1,0,promo gratis ongkir cuman pakai kurir a ubah kurir b kecewa pakai tokopedia rasa layan kecewa paket kirim kurir konfirmasi kurir jne
45,"sangat kecewa kalau tokopedia membiarkan id express menjadi expedisi pengirimannya .. sangat buruk kerjanya id express .. pesanan cuma notif "" pesanan di antar pembeli "" 3 hari berubah . kurirnya setress malas malasan emang id express sangat buruk niat jadi aplikasi pengiriman .. id express sangat buruk",1,0,kecewa tokopedia biar id express expedisi kirim buruk kerja id express pesan notif pesan beli ubah kurir setress malas malas emang id express buruk niat aplikasi kirim id express buruk
46,"amit2 dah,barang aku stuck penjual,gara2 tokopedia kerjasama ntah sama ekspedisi mana,udah 2 minggu barang aku stuck,kalo lacak tiap hari update kurir sedang perjalanan mengambil pesanan dari toko penjual,padahal udah 2 minggu sampe hari updatenya sama,gila emang tokopedia,saran aku mending uninstal,bagaimanapun lebih baik shopee.",1,0,amit dahbarang stuck penjualgara tokopedia kerjasama ntah ekspedisi manaudah minggu barang stuckkalo lacak update kurir jalan ambil pesan toko penjualpadahal udah minggu sampe updatenya samagila emang tokopediasaran mending uninstalbagaimanapun shopee
47,"salah satu e-commerce yg gak direkomendasikan,, bukan nya untung malah ngerugiin , beli barang bayar alfamart pas bayar tiba tiba dibatalkan sistem , alhasil saldo yg tidak sesuai apa yg kita bayarkan kalau bayar di alfa kena admin , rugiiii",1,0,salah ecommerce gak rekomendasi nya untung ngerugiin beli barang bayar alfamart pas bayar batal sistem alhasil saldo sesuai bayar bayar alfa kena admin rugiiii
48,"transaksi berhasil tidak pemberitahuan itu sebenarnya berhasil tidak tidak di history limit kartu kredit terpotong pengembalian nya susah, jadi kecewa ama tokopedia mending pindah shopee ato blibli deh. mana gede",4,1,transaksi hasil pemberitahuan hasil history limit kartu kredit potong kembali nya susah kecewa ama tokopedia mending pindah shopee ato blibli deh gede
49,"update lancar, giliran update ko mlah ngga buka, dong di perbaiki lagi, sinyal tidak masalah, buka aplikasi lancar, cuma buka aplikasi tokopedia bermasalah. terimakasih",1,0,update lancar gilir update ko mlah ngga buka baik sinyal buka aplikasi lancar buka aplikasi tokopedia masalah terimakasih
50,"tindak tegas seller selalu jualan ngawur. order apa dikirim item lain. semacam barang lama dikirim biar laku. ngabisin stok lama, jadi asal kirim tuh sellernya. sama dengan penipuan itu. berarti tokopedia beri jalan ama tuh penipu.",1,0,tindak seller jual ngawur order kirim item barang kirim biar laku ngabisin stok kirim tuh sellernya tipu tokopedia jalan ama tuh tipu
51,langganan plus masa 6 bulan. sudah dua kali barang dikirim pengantaran antaraja status berhasil barang di terima. pengiriman antaraja dihapus lamgganan plus... terimakasih,1,0,langgan plus kali barang kirim antar antaraja status hasil barang terima kirim antaraja hapus lamgganan plus terimakasih
52,"bukti foto barang diterima/ terkirim baru terbuka klik selesai pesanan? sebaiknya terlihat dulu foto bukti kurir mengirim barang, baru buyer yakin mengklik selesai pesanan.",5,1,bukti foto barang terima kirim buka klik selesai pesan foto bukti kurir kirim barang buyer klik selesai pesan
53,"sekarang belanja ditoped jadi gak nyaman pengiriman sangat lama kurir recomendasi gak recomen dah aturan 2 hari nyampe 7 hari baru nyampe kalo begini terus lama2 toped pada ditinggalin pelanggan biasanya belanja disini seminngu 3-4kali sekarang jadi jarang mungkin 3bln sekali, males itu tadi, diperbaiki sistemnya",1,0,belanja ditoped gak nyaman kirim kurir recomendasi gak recomen dah atur nyampe nyampe kalo toped ditinggalin langgan belanja seminngu kali jarang bln males baik sistem
54,"iklannya sangat ganggu wkt buka app lain, percuma bnykin iklan..susah pilih ekspedisi,promo ribet, produk yg dijual lengkap membosankan , itu2 krn dimonopoli 'dilayani tokopedia'..hrg kejar diskon up dulu krn diskon, memang segitu harganya, uninstall",1,0,iklan ganggu wkt buka aplikasi bnykin iklansusah pilih ekspedisipromo ribet produk jual lengkap bosan krn monopoli layan tokopediahrg kejar diskon up krn diskon segitu harga uninstall
55,"pengalaman terkait tokopedia ini, bagus aplikasinya penggunaan. semoga tokopedia bisa lebih bagus, lebih baik lebih maju lagi. terkait kendala, disitu solusinya. pokoknya its ok 👍",5,1,alam kait tokopedia bagus aplikasi guna moga tokopedia bagus maju kait kendala situ solusi pokok its ok
56,"aplikasi kok jd tdk berjalan, baru beranda awal aja udah buffering. gak pencet opsi apapun. gimana tokped, kok kualitasnya gini amat. jd terhambat bgt mau akses pake tokped , udah 3 hari loh sama",5,1,aplikasi jd jalan beranda aja udah buffering gak pencet opsi apa gimana tokped kualitas gin jd hambat bgt akses pake tokped udah loh
57,"promo modus pakai malah dibataikan sepihak sama tokopedia bagaimana ?????selama 2023 banyak kebijakan yg merugikan pembeli tokopedia,mending belanja di lazada banyak promo nya gratis ongkir cepat sampai nya",1,0,promo modus pakai batai tokopedia bijak rugi beli tokopediamending belanja lazada promo nya gratis ongkir cepat nya
58,"bayar tokopedia plus dapat kurir spax, sdh di kota penerima masih diantar2, percuma jadi member plus!!! aplikasi lemot terutama pakai wifi (30mbps)",1,0,bayar tokopedia plus kurir spax kota terima antar member plus aplikasi lot pakai wifi mbps
59,"kapok.belanja di.tokopedia,proses pengiriman lama sekali,1 minggu sampai,apalagi kurir id expres niat kerja,,enakan belanja shopi proses cepat 2/hari dah jarak pengiriman sama",1,0,kapokbelanja ditokopediaproses kirim minggu sampaiapalagi kurir id expres niat kerjaenakan belanja shopi proses cepat dah jarak kirim
60,dikasih promo pengguna baru 30 udah cekout bayar indomaret malah dibatalkan mentah2 sama sistem kok si padahal pernah download tokopedia sebelumnya beli hp keadan baru. saya juga belum pernah login sama sekali,1,0,kasih promo guna udah cekout bayar indomaret batal mentah sistem download tokopedia beli hp adan login
61,"nyoba tokped maju mundur ternyata boomm, nyaman sama sekali. kena admin malah pesanan batal. sorry banget auto uninstall balik toko oren. lagi"" belanja lewat marketplace ini.",1,0,nyoba tokped maju mundur boomm nyaman kena admin pesan batal sorry banget auto uninstall toko oren belanja marketplace
62,"hilangkan kurir rekomendasi. nyatanya rekomendasi.. biasanya pake jnt 3 hari. pake kurir rekomendasi malah oper kebeberapa kurir. awal jne, oper sicepat, oper id express. akhirnya ulasan terbit, paketan sya hilang.. horeee.. lucu nya, kurir ngasih bukti pengiriman foto bukan rumah saya, bukan saya, bahkan bukan paketan saya.. yang di foto paketan orang lain. lokasi bukan lokasi saya... horee lagi....",1,0,hilang kurir rekomendasi rekomendasi pake jnt pake kurir rekomendasi oper beberapa kurir jne oper sicepat oper id express ulas terbit paket sya hilang horeee lucu nya kurir ngasih bukti kirim foto rumah paket foto paket orang lokasi lokasi horee
63,"belanja biasanya 4-5 hari selesai. sudah 20 hari lebih barang datang, nyasar, dana dikembalikan full, padahal kesalahan kurir. mengecewakan tokopedia berlabel kurir rekomendasi pelayanan ini.",1,0,belanja selesai barang nyasar dana kembali full salah kurir kecewa tokopedia label kurir rekomendasi layan
64,"apk jual beli paling parah, pemilihan kurir pengiriman dilakukan kurir yg bermutu, lambat. melakukan komplain paling susah pdhl jaringan bagus tp sering kluar sendiri mau upload video",1,0,aplikasi jual beli parah pilih kurir kirim kurir mutu lambat komplain susah pdhl jaring bagus tp kluar upload video
